type,name,res_id,src,value
model,"ir.actions.report.xml,name",19,Labels,
model,"ir.actions.report.xml,name",20,Identifiants,
model,"ir.actions.report.xml,name",51,Invoices List,Számlák listája
model,"ir.actions.report.xml,name",52,Recall List,
model,"ir.actions.report.xml,name",53,Transfer List,
model,"ir.actions.report.xml,name",67,Artists,
model,"ir.actions.report.xml,name",68,Bids,
model,"ir.actions.report.xml,name",69,Deposits,
model,"ir.actions.report.xml,name",70,Seller Labels,
model,"ir.actions.report.xml,name",71,Lots Cards,
model,"ir.actions.report.xml,name",72,Lots List - Landscape,
model,"ir.actions.report.xml,name",73,Lots List,
model,"ir.actions.report.xml,name",74,Lots List Inventory,Raktár lista leltár
model,"ir.actions.report.xml,name",75,Lots Tickets,Raktári jegyek
model,"ir.actions.report.xml,name",76,Fiches Lots,
model,"ir.actions.report.xml,name",77,Bordereau Achat + Photos,
model,"ir.actions.report.xml,name",78,Bordereau Achat,
model,"ir.actions.report.xml,name",79,Bordereau Vente,
model,"ir.actions.report.xml,name",80,Results,
model,"ir.actions.report.xml,name",81,Catalog,
model,"ir.actions.report.xml,name",82,Buyer List,
model,"ir.actions.report.xml,name",83,Seller List,
model,"ir.actions.report.xml,name",84,Bids per lot (phone),
model,"ir.actions.report.xml,name",85,Deposit Letters,
model,"ir.actions.report.xml,name",86,Totals,
model,"ir.actions.report.xml,name",118,Business Opportunities,
model,"ir.actions.report.xml,name",127,Picking List,Szállítmány
model,"ir.actions.report.xml,name",128,Shipping List,Szállítólevél
model,"ir.actions.report.xml,name",129,Stock Overview,Raktár adatok
model,"ir.actions.report.xml,name",130,Stock Overview (by address),Raktár adatok (címek szerint)
model,"ir.actions.report.xml,name",132,Purchase Orders,Megrendelések
model,"ir.actions.report.xml,name",136,Sale Orders,Ajánlatkérések
field,"ir.actions.report.xml,auto",0,Automatic XSL:RML,
field,"ir.actions.report.xml,report_name",0,XML,
field,"ir.actions.report.xml,model",0,Report Type,
field,"ir.actions.report.xml,type",0,Report Type,
field,"ir.actions.report.xml,report_xml",0,XML,
field,"ir.actions.wizard,wiz_name",0,Wizard name,
field,"ir.actions.wizard,type",0,Action type,
field,"ir.actions.wizard,name",0,Wizard info,
model,"ir.actions.wizard,name",28,Mass Mailing,
model,"ir.actions.wizard,name",29,Send SMS,
model,"ir.actions.wizard,name",54,Reconcile Transactions,
model,"ir.actions.wizard,name",55,Split Invoice,
model,"ir.actions.wizard,name",56,Refund Invoice,
model,"ir.actions.wizard,name",87,Send objects to Auction-in-europe.com,
model,"ir.actions.wizard,name",88,Map buyer username to Partners,
model,"ir.actions.wizard,name",89,Cancel payment,
model,"ir.actions.wizard,name",90,Invoice objects,
model,"ir.actions.wizard,name",91,Numerotation (per lot),
model,"ir.actions.wizard,name",92,Numerotation (automatic),
model,"ir.actions.wizard,name",93,Pay objects,
model,"ir.actions.wizard,name",94,SMS Send,
model,"ir.actions.wizard,name",95,Send results to Auction-in-Europe.com,
field,"ir.attachment,description",0,Description,
field,"ir.attachment,res_model",0,Ressource Model,
field,"ir.attachment,datas_fname",0,Datass Filename,
field,"ir.attachment,res_id",0,Ressource ID,
field,"ir.attachment,datas",0,Datas,
field,"ir.attachment,name",0,Attachement Name,
field,"ir.cron,function",0,Function,
field,"ir.cron,uid",0,User,
field,"ir.cron,multicall",0,Multiple Call,
field,"ir.cron,args",0,Arguments,
field,"ir.cron,delete_after",0,Delete after execution,
field,"ir.cron,interval_max",0,Max Interval Number,
field,"ir.cron,active",0,Active,
field,"ir.cron,on_error",0,On Error,
field,"ir.cron,interval_int",0,Interval Number,
field,"ir.cron,max_repeat",0,Maximum Repetition,
field,"ir.cron,date",0,Next Date,
field,"ir.cron,model",0,Model,
field,"ir.cron,interval_uom",0,Interval Unit,
field,"ir.cron,name",0,Name,
field,"ir.default,uid",0,Users,
field,"ir.default,ref_table",0,Table Ref.,
field,"ir.default,value",0,Default Value,
field,"ir.default,ref_id",0,ID Ref.,
field,"ir.default,field_tbl",0,Model,
field,"ir.default,field_name",0,Model field,
field,"ir.default,page",0,View,
field,"ir.report.custom,print_format",0,Print format,
field,"ir.report.custom,title",0,Report Header,
field,"ir.report.custom,repeat_header",0,Repeat Header,
field,"ir.report.custom,footer",0,Report Footer,
field,"ir.report.custom,totalonly",0,Show totals only,
field,"ir.report.custom,fields_id",0,Fields,
field,"ir.report.custom,sortby",0,Sorted By,
field,"ir.report.custom,print_orientation",0,Print orientation,
field,"ir.report.custom,model",0,Model,
field,"ir.report.custom,groupby",0,Grouped By,
field,"ir.report.custom,name",0,Report Name,
field,"ir.report.custom.fields,calc_sum",0,Calculate Sum,
field,"ir.report.custom.fields,name",0,Name,
field,"ir.report.custom.fields,calc_avg",0,Calculate Average,
field,"ir.report.custom.fields,bgcolor",0,Background Color,
field,"ir.report.custom.fields,calc_count",0,Calculate Count,
field,"ir.report.custom.fields,priority",0,Priority,
field,"ir.report.custom.fields,width",0,Fixed Width,
field,"ir.report.custom.fields,fontcolor",0,Font color,
field,"ir.report.custom.fields,report_id",0,Report Ref,
field,"ir.report.custom.fields,alignment",0,Alignment,
field,"ir.report.custom.fields,string",0,String,
field,"ir.translation,lang",0,Language,
field,"ir.translation,src",0,Source,
field,"ir.translation,name",0,Name Field,
field,"ir.translation,type",0,Type,
field,"ir.translation,value",0,Translation Value,
field,"ir.translation,res_id",0,Ressource ID,
field,"ir.ui.menu,parent_id",0,Parent Menu,Szülő menü
field,"ir.ui.menu,child_id",0,Childs,Gyerekek
field,"ir.ui.menu,name",0,Menu,Menü
model,"ir.ui.menu,name",1,Menu,Menü
model,"ir.ui.menu,name",3,Operations,Műveletek
model,"ir.ui.menu,name",4,Definitions,Definíciók
model,"ir.ui.menu,name",5,Administration,Adminisztráció
model,"ir.ui.menu,name",6,Actions,Műveletek
model,"ir.ui.menu,name",7,Actions,Műveletek
model,"ir.ui.menu,name",8,Execute,Futtatás
